Ingredient,Frequency,Percentage
"yucca schidigera.",40,2.26%
"fructo-oligo-saccharides",39,2.21%
"borage oil",39,2.21%
"salt",39,2.21%
"yeasts",39,2.21%
"seaweed meal",39,2.21%
"psyllium husks and seeds",38,2.15%
"egg",38,2.15%
"maize flour",38,2.15%
"tomato",37,2.09%
"inulin",37,2.09%
"peppermint",37,2.09%
"hydrolysed crustaceans",36,2.04%
"dehydrated chicken",36,2.04%
"chondroitin.",36,2.04%
"blueberries",36,2.04%
"hydrolysed cartilage.",35,1.98%
"blueberry",35,1.98%
"green lipped mussel",35,1.98%
"unmolassed beet pulp",35,1.98%
"camomile",35,1.98%
"marjoram",35,1.98%
"turkey meal",35,1.98%
"prebiotic fos",34,1.92%
"pea flour",34,1.92%
"vegetable oil",34,1.92%
"poultry meal",33,1.87%
"pork fat",33,1.87%
"yucca schidigera extract",33,1.87%
"mannan oligosaccharides",32,1.81%
"chicken digest",32,1.81%
"dried cranberries",32,1.81%
"kelp",31,1.75%
"lentils",31,1.75%
"linseed oil",31,1.75%
"chicory inulin",31,1.75%
"rosehips",31,1.75%
"dried sweet potato",31,1.75%
"dried rosemary",31,1.75%
"full fat linseed",31,1.75%
"vegetable protein extracts",31,1.75%
"dried dandelion",31,1.75%
"dandelion",31,1.75%
"rosehip",31,1.75%
"joint pack",30,1.70%
"marigold extract.",30,1.70%
"corn",29,1.64%
"whole dried egg",29,1.64%
"sage",29,1.64%
"turkey",29,1.64%
"nucleotides",29,1.64%
"hydrolysed animal protein",29,1.64%
"dried chamomile",29,1.64%
"sorghum",29,1.64%
"sea algae",29,1.64%
"butternut squash",28,1.58%
"salmon meal",28,1.58%
"dried apple pulp",28,1.58%
"dried alfalfa",28,1.58%
"pomegranate extract",27,1.53%
"poultry oil",27,1.53%
"prairie meal",26,1.47%
"cellulose",26,1.47%
"spirulina",26,1.47%
"dried brewer's yeast",26,1.47%
"lamb",25,1.41%
"glucosamine hydrochloride",25,1.41%
"various sugars.",25,1.41%
"mint",25,1.41%
"dehydrated herring",25,1.41%
"eggs",24,1.36%
"egg powder",24,1.36%
"lecithin",24,1.36%
"wheat gluten",24,1.36%
"soya meal",23,1.30%
"lavender",23,1.30%
"beet fibre",23,1.30%
"dried chicken",23,1.30%
"chicken and turkey meal",23,1.30%
"vitamins and minerals",22,1.25%
"kale",22,1.25%
"flaxseed oil",22,1.25%
"wheat flour",22,1.25%
"taurine",22,1.25%
"poultry gravy",22,1.25%
"dried parsley",22,1.25%
"spinach powder",22,1.25%
"dried tomato",22,1.25%
"chamomile",22,1.25%
"chicken oil",21,1.19%
"asparagus",21,1.19%
"chicken meat meal",21,1.19%
"beta-glucans",20,1.13%
"dried pumpkin",20,1.13%
"l-carnitine",20,1.13%
"freshly prepared chicken",20,1.13%
"herbs",20,1.13%
"dehulled oats",20,1.13%
"dried beetroot",20,1.13%
"whole red lentils",20,1.13%
"marshmallow root",20,1.13%
"turkey fat",20,1.13%
"whole peas",20,1.13%
"lamb meal",20,1.13%
"dicalcium phosphate",20,1.13%
"citrus extract",20,1.13%
"whole grain barley",20,1.13%
"pear",19,1.08%
"naked oats",19,1.08%
"whole green lentils",19,1.08%
"turmeric root",19,1.08%
"whole egg",19,1.08%
"various sugars",19,1.08%
"fresh herring",19,1.08%
"sage.",19,1.08%
"basil",19,1.08%
"tomatoes",19,1.08%
"yeasts and parts thereof",19,1.08%
"pomegranate",19,1.08%
"yeasts extracts",18,1.02%
"green beans",18,1.02%
"whole oats",18,1.02%
"hydrolysed liver protein",18,1.02%
"fresh whole butternut squash",18,1.02%
"fresh whole pumpkin",18,1.02%
"dried broccoli",18,1.02%
"dandelion root",18,1.02%
"dried peppermint",18,1.02%
"dried chicken and turkey",18,1.02%
"fresh spinach",18,1.02%
"mojave yucca",18,1.02%
"vitamins & minerals",18,1.02%
"beetroot",18,1.02%
"chicory pulp",18,1.02%
"dried brewers yeast",18,1.02%
"pomegranate.",17,0.96%
"alfalfa meal",17,0.96%
"coconut oil",17,0.96%
"whole maize",17,0.96%
"brewer's dried yeast",17,0.96%
"dried potato",17,0.96%
"whole chickpeas",17,0.96%
"fresh whole apples",17,0.96%
"fresh whole carrots",17,0.96%
"fresh whole pears",17,0.96%
"fresh whole zucchini",17,0.96%
"fresh beet greens",17,0.96%
"fresh kale",17,0.96%
"fresh turnip greens",17,0.96%
"dehydrated whole eggs",17,0.96%
"pomegranate powder",17,0.96%
"dehydrated apple",17,0.96%
"dehydrated sweet orange",17,0.96%
"powdered blueberries",17,0.96%
"krill",17,0.96%
"sweet potatoes",17,0.96%
"mulberry",16,0.91%
"ginseng",16,0.91%
"beef",16,0.91%
"dried apples",16,0.91%
"beef liver",16,0.91%
"rice flour",16,0.91%
"salmon oil 1%",16,0.91%
"rosehips.",16,0.91%
"derivatives of vegetable origin.",16,0.91%
"powdered blackcurrant",16,0.91%
"turkey gravy",16,0.91%
"marigold meal",16,0.91%
"rosemary extract",16,0.91%
"yeast products",16,0.91%
"turmeric.",15,0.85%
"orange",15,0.85%
"yeast extract.",15,0.85%
"dried thyme",15,0.85%
"green-lipped mussel extract",15,0.85%
"spirulina.",15,0.85%
"fresh boneless chicken",15,0.85%
"dehydrated chicken meat",15,0.85%
"salmon gravy",15,0.85%
"nucleotides.",15,0.85%
"dried whole eggs",15,0.85%
"1% minerals",15,0.85%
"chicken 50%",15,0.85%
"tagetes.",15,0.85%
"dried chicory",15,0.85%
"dried nettle",14,0.79%
"potato flakes",14,0.79%
"dried poultry protein",14,0.79%
"sodium hexametaphosphate",14,0.79%
"cranberry.",14,0.79%
"dehydrated turkey",14,0.79%
"dried spearmint.",14,0.79%
"refined chicken oil",14,0.79%
"dried rosehip",14,0.79%
"fresh salmon",14,0.79%
"beta glucans",14,0.79%
"dehydrated pork protein",14,0.79%
"poultry meat meal",14,0.79%
"chicken 55%",13,0.74%
"chia seeds",13,0.74%
"preservatives.",13,0.74%
"linseeds",13,0.74%
"lamb fat",13,0.74%
"dried blueberries",13,0.74%
"lamb gravy",13,0.74%
"maize grits",13,0.74%
"extract of yucca schidigera.",13,0.74%
"seeds",13,0.74%
"prebiotics",13,0.74%
"dried fish",13,0.74%
"fennel",13,0.74%
"chicken 60%",13,0.74%
"rosemary.",13,0.74%
"vitamins and minerals.",13,0.74%
"brewers' rice",13,0.74%
"dried potatoes",12,0.68%
"hydrolysed poultry protein",12,0.68%
"methylsulphonylmethane",12,0.68%
"whole green peas",12,0.68%
"whole yellow peas",12,0.68%
"duck fat",12,0.68%
"dehydrated pork and poultry protein",12,0.68%
"whole pea",12,0.68%
"mineral salts",12,0.68%
"psyllium fibre",12,0.68%
"chondroitin sulfate",12,0.68%
"dried herbs 0.2%",12,0.68%
"0.1% chicory inulin",12,0.68%
"methionine",12,0.68%
"rosemary extract 0.005%.",12,0.68%
"algae",12,0.68%
"freshly prepared salmon",12,0.68%
"dried salmon",12,0.68%
"blackberry",12,0.68%
"mannanoligosaccharides.",12,0.68%
"olive extract.",12,0.68%
"maize protein",12,0.68%
"vitamins & minerals.",11,0.62%
"cauliflower",11,0.62%
"dried tomato pomace",11,0.62%
"field bean hulls",11,0.62%
"carrots 5%",11,0.62%
"wheatfeed",11,0.62%
"beef kidney",11,0.62%
"dried sea buckthorn",11,0.62%
"monocalcium phosphate",11,0.62%
"turkey 50%",11,0.62%
"herring meal",11,0.62%
"dried duck",11,0.62%
"beef meal",11,0.62%
"prebiotic mannan-oligosaccharides",11,0.62%
"dried peppermint.",11,0.62%
"field beans",11,0.62%
"dried superfood blend",11,0.62%
"salmon oil 0.3%",11,0.62%
"psyllium husks",10,0.57%
"duck",10,0.57%
"antioxidants",10,0.57%
"fresh whole cranberries",10,0.57%
"fresh whole blueberries",10,0.57%
"gelatine",10,0.57%
"nettles",10,0.57%
"chicken turkey & salmon 60%",10,0.57%
"meat meal",10,0.57%
"buckwheat",10,0.57%
"0.04% glucosamine",10,0.57%
"fresh turkey",10,0.57%
"fructo-oligosaccharide",10,0.57%
"raw turkey liver",10,0.57%
"bilberry",10,0.57%
"oils",10,0.57%
"yeasts.",10,0.57%
"freshly prepared turkey",10,0.57%
"sugar beet pellets",10,0.57%
"fish and fish derivatives",10,0.57%
"whole grain maize",10,0.57%
"whole grain oats",10,0.57%
"pre-biotic fructooligosaccharide",10,0.57%
"whole grain wheat",10,0.57%
"dried lamb",10,0.57%
"hawthorn leaf",10,0.57%
"whole wheat",10,0.57%
"acai",9,0.51%
"ginger.",9,0.51%
"parsnip",9,0.51%
"green tea.",9,0.51%
"2% krill",9,0.51%
"brewer’s yeast",9,0.51%
"dried chick peas",9,0.51%
"dried dandelion root",9,0.51%
"poultry protein",9,0.51%
"sugar beet",9,0.51%
"peas 5%",9,0.51%
"duck meal",9,0.51%
"green-lipped mussel",9,0.51%
"beef tripe",9,0.51%
"malt extract",9,0.51%
"20% fresh chicken meat",9,0.51%
"0.02% chondroitin sulphate",9,0.51%
"chicory root powder",9,0.51%
"hydrolysed protein",9,0.51%
"olive oil",9,0.51%
"dried chicory root 0.04%",9,0.51%
"yeast 0.04%",9,0.51%
"dried basil 0.016%",9,0.51%
"meat & animal derivatives",9,0.51%
"lentil fibre",9,0.51%
"raw flounder",9,0.51%
"fresh whole saskatoon berries",9,0.51%
"dried tomatoes",9,0.51%
"goji berry",9,0.51%
"hydrolyzed chicken liver",9,0.51%
"white fish",9,0.51%
"hydrolysed poultry liver",9,0.51%
"whole barley",9,0.51%
"pre-biotic mannanoligosaccharides",9,0.51%
"millet",9,0.51%
"natural seaweed",9,0.51%
"pea bran meal",9,0.51%
"trout & salmon 50%",8,0.45%
"5% millet",8,0.45%
"seaweed.",8,0.45%
"chicken meat",8,0.45%
"dried algae",8,0.45%
"turkey 30%",8,0.45%
"dried rosemary.",8,0.45%
"organic peas",8,0.45%
"msm.",8,0.45%
"salmon oil 2%",8,0.45%
"dried chicory root 0.5%",8,0.45%
"freshly prepared trout",8,0.45%
"aniseed & fenugreek",8,0.45%
"yucca extract 0.01%",8,0.45%
"marigold extract 0.005%",8,0.45%
"chicken 30%",8,0.45%
"yucca powder 0.01%",8,0.45%
"pomegranate extract 0.002%.",8,0.45%
"carnitine",8,0.45%
"whole pinto beans",8,0.45%
"whole cranberries",8,0.45%
"whole blueberries",8,0.45%
"whole saskatoon berries",8,0.45%
"fructo oligosaccharides",8,0.45%
"yellow peas",8,0.45%
"fatty acid salt",8,0.45%
"fats",8,0.45%
"0.2% yeast extract",8,0.45%
"beans",8,0.45%
"celery seed",8,0.45%
"freshly prepared duck",8,0.45%
"marigold meal.",8,0.45%
"spelt",8,0.45%
"beetroot.",8,0.45%
"blueberry powder",8,0.45%
"dl methionine",8,0.45%
"marigold.",8,0.45%
"whole linseeds",8,0.45%
"dried sugar beet pulp",8,0.45%
"fructooligosaccharides.",8,0.45%
"dried seaweed.",8,0.45%
"yeast cell walls",8,0.45%
"whole ground oats",8,0.45%
"fibre vegetable of peas",8,0.45%
"carrot 4%",7,0.40%
"fresh salmon and trout",7,0.40%
"chicken liver gravy",7,0.40%
"lucerne sprout",7,0.40%
"2% coconut oil",7,0.40%
"cold pressed salmon oil",7,0.40%
"marine algae",7,0.40%
"beef heart 5%",7,0.40%
"pork",7,0.40%
"dried kale",7,0.40%
"pasteurised lactobacillus acidophilus",7,0.40%
"extract of yucca schidigera",7,0.40%
"wheat gluten meal",7,0.40%
"red lentils",7,0.40%
"mojave yucca.",7,0.40%
"chicken with bone",7,0.40%
"salmon oil.",7,0.40%
"beet pulp 5%",7,0.40%
"salmon digest",7,0.40%
"vegetables.",7,0.40%
"dried marigold",7,0.40%
"herbs.",7,0.40%
"whole navy beans",7,0.40%
"raw turkey",7,0.40%
"dried blueberry",7,0.40%
"vegetable gravy",7,0.40%
"whole eggs",7,0.40%
"poultry digest",7,0.40%
"glucosamine hcl",7,0.40%
"whole egg powder",7,0.40%
"cleavers",7,0.40%
"dried turkey",7,0.40%
"hydrolysed cartilage",7,0.40%
"dehydrated poultry proteins",7,0.40%
"ocean fish meal",7,0.40%
"apple pulp",7,0.40%
"dehydrated carrot",7,0.40%
"cartilage",7,0.40%
"oregano.",7,0.40%
"beet",7,0.40%
"turkey liver",7,0.40%
"mineral clay",7,0.40%
"duck stock",7,0.40%
"dried citrus pulp",7,0.40%
"glycerol",7,0.40%
"sunflower oil 0.75%",7,0.40%
"tomato powder 0.15%",7,0.40%
"dried kelp 0.08%",7,0.40%
"dried cranberry 0.05%",7,0.40%
"dried blueberry 0.05%",7,0.40%
"natural antioxidants.",7,0.40%
"apple 1%",7,0.40%
"psyllium husk",7,0.40%
"wheat middling",7,0.40%
"beef liver 5%",7,0.40%
"pre-biotic fructo-oligosaccharide",6,0.34%
"fresh chicken and duck",6,0.34%
"dried chicken and duck",6,0.34%
"fresh whole egg",6,0.34%
"ground chicory root",6,0.34%
"1% nettle.",6,0.34%
"sodium chloride.",6,0.34%
"garlic powder",6,0.34%
"cold pressed flaxseed oil",6,0.34%
"organic chicken fat",6,0.34%
"water",6,0.34%
"linseed oil 0.2%",6,0.34%
"dehydrated beef",6,0.34%
"hydrolysed chicken",6,0.34%
"dried ginger",6,0.34%
"dried pomegranate",6,0.34%
"chitosan",6,0.34%
"fresh duck",6,0.34%
"natural flavours",6,0.34%
"lemna protein",6,0.34%
"dried ginger root",6,0.34%
"yucca.",6,0.34%
"sunflower oil.",6,0.34%
"fresh chicken meat",6,0.34%
"tapioca starch",6,0.34%
"linseed.",6,0.34%
"stinging nettle",6,0.34%
"5% beef liver",6,0.34%
"dried herring",6,0.34%
"salmon stock",6,0.34%
"dried bilberry",6,0.34%
"dried pomegranate.",6,0.34%
"salmon oil 0.5%",6,0.34%
"natural seaweed meal 0.5%",6,0.34%
"vitamins.",6,0.34%
"raw whole hake",6,0.34%
"raw whole herring",6,0.34%
"fresh eggs",6,0.34%
"dehydrated mackerel",6,0.34%
"hydrolysed chicken liver",6,0.34%
"marine algae meal",6,0.34%
"hydrolyzed crustacean shells",6,0.34%
"cartilage extract",6,0.34%
"fruits",6,0.34%
"rice germ",6,0.34%
"milk thistle seeds",6,0.34%
"raw turkey livers",6,0.34%
"linseed 2%",6,0.34%
"british and irish farmed meats",6,0.34%
"mint.",6,0.34%
"chicken protein",6,0.34%
"cinnamon",6,0.34%
"cellulose powder",6,0.34%
"burdock root powder",6,0.34%
"yeasts products",6,0.34%
"marigold flower",6,0.34%
"potato flour",6,0.34%
"beet pulp flour",6,0.34%
"brewers dried yeast",6,0.34%
"dried green peas",6,0.34%
"celery",6,0.34%
"hydrolyzed chicken liver 2%",6,0.34%
"cloves",6,0.34%
"seaweed oil extract",6,0.34%
"fenugreek.",6,0.34%
"carob pod meal",6,0.34%
"crustacean shell hydrolysate.",6,0.34%
"chicken meal 30%",6,0.34%
"chicken heart",6,0.34%
"freshly prepared lamb",6,0.34%
"dehydrated lamb",6,0.34%
"fish digest",6,0.34%
"wheat meal",6,0.34%
"herbs & botanicals.",6,0.34%
"40% chicken",6,0.34%
"chicken digest as gravy",6,0.34%
"culinary herbs blend",6,0.34%
"potassium chloride.",6,0.34%
"carob",6,0.34%
"propylene glycol",6,0.34%
"peas 2%",6,0.34%
"pumpkin 1%",6,0.34%
"british & irish farmed meats",6,0.34%
"thyme.",6,0.34%
"fish oil.",6,0.34%
"peas 4%",6,0.34%
"apple pulp dried",6,0.34%
"lactobacillus acidophilus ha 122 inactivated.",6,0.34%
"potato flake",6,0.34%
"hydrolysed chicken protein",6,0.34%
"pea bran",6,0.34%
"dried marigold flower",6,0.34%
"sweet potato 3%",6,0.34%
"carrots 3%",6,0.34%
"safflower oil",6,0.34%
"celery seeds",6,0.34%
"clivers",6,0.34%
"wild yam.",6,0.34%
"chicken 65%",6,0.34%
"green peas",6,0.34%
"organic carrots",6,0.34%
"wheat feed",6,0.34%
"prebiotic fos.",6,0.34%
"dried camomile",6,0.34%
"0.25% turmeric.",5,0.28%
"mineral substances",5,0.28%
"spices",5,0.28%
"dried herbs",5,0.28%
"hydrolysed vegetables",5,0.28%
"celery seed powder.",5,0.28%
"chicken dried",5,0.28%
"salmon oil 4%",5,0.28%
"rosemary extract 0.01%",5,0.28%
"oils & fats",5,0.28%
"lamb meat meal",5,0.28%
"garlic",5,0.28%
"poultry liver",5,0.28%
"dried parsnip",5,0.28%
"citrus extracts",5,0.28%
"dried spearmint",5,0.28%
"0.125% turmeric.",5,0.28%
"freshly prepared pork",5,0.28%
"flaked oats",5,0.28%
"maize starch",5,0.28%
"quinoa",5,0.28%
"0.1% salmon oil",5,0.28%
"0.1% sunflower oil",5,0.28%
"0.1% aronia extract",5,0.28%
"algae oil",5,0.28%
"lamb 70%",5,0.28%
"beet pulp 4%",5,0.28%
"yucca schidigera extract.",5,0.28%
"whole barley 12%",5,0.28%
"molluscs and crustaceans as source of glucosamine",5,0.28%
"dried chicory pulp 0.1%",5,0.28%
"dried algae 0.1%",5,0.28%
"beet pulp 0.04%",5,0.28%
"fresh chicken giblets 4%",5,0.28%
"whole grain corn",5,0.28%
"calcium carbonate.",5,0.28%
"dehydrated sardine",5,0.28%
"pollock oil",5,0.28%
"cellulose plant fibres",5,0.28%
"paprika powder",5,0.28%
"thyme extract",5,0.28%
"fennel extract",5,0.28%
"rosehip extract",5,0.28%
"dandelion extract",5,0.28%
"rosemary oil extract",5,0.28%
"sunflower meal",5,0.28%
"brewerâ€™s yeast",5,0.28%
"raspberries.",5,0.28%
"chicken fat 2%",5,0.28%
"dehydrated salmon",5,0.28%
"rice protein",5,0.28%
"salmon oil 0.2%",5,0.28%
"glucosamine sulphate",5,0.28%
"freshly prepared white fish",5,0.28%
"camomile powder",5,0.28%
"fructose oligosaccharides",5,0.28%
"bilberry.",5,0.28%
"flaxseed.",5,0.28%
"glucosamine 0.026%",5,0.28%
"chondroitin sulfate 0.016%",5,0.28%
"mannan oligosaccharides 0.015%",5,0.28%
"fructo oligosaccharides 0.012%",5,0.28%
"oatfeed",5,0.28%
"duck meat",5,0.28%
"sweet potato 10%",5,0.28%
"potato 6%",5,0.28%
"dehydrated broccoli",5,0.28%
"freshly prepared free range chicken",5,0.28%
"green lipped mussels",5,0.28%
"orygoformula 2.6%.",5,0.28%
"glucosamine.",5,0.28%
"prebiotic mannan oligosaccharide",5,0.28%
"salmon meal 2%",5,0.28%
"coconut flour",5,0.28%
"glucosamine 350mg/kg",5,0.28%
"organic sunflower seed husks",5,0.28%
"tagetes",5,0.28%
"salmon 60%",5,0.28%
"salmon protein",5,0.28%
"dried vegetables",5,0.28%
"broken rice",5,0.28%
"dried pear",5,0.28%
"salmon & trout 50%",5,0.28%
"65% chicken",5,0.28%
"chicken liver digest",5,0.28%
"beet pulp 3%",5,0.28%
"sunflower seeds",5,0.28%
"vegetables 10%",5,0.28%
"dried mixed herbs",5,0.28%
"fermented saccharomyces cerevisiae",5,0.28%
"collagen",5,0.28%
"whole linseed 2.5%",5,0.28%
"mannan oligosaccharides 0.1%",5,0.28%
"cellulose fibre",5,0.28%
"corn gluten",5,0.28%
"extracts of plant proteins",5,0.28%
"vegetables and by-products of vegetable origin",5,0.28%
"protein hydrolysate",5,0.28%
"soybean meal",5,0.28%
"fresh vegetables",5,0.28%
"organic crude wheatgerm",5,0.28%
"parsnips",5,0.28%
"hydrolyzed poultry protein",5,0.28%
"dehydrated chicken protein",5,0.28%
"gravy.",5,0.28%
"minerals & vitamins",5,0.28%
"antioxidant",5,0.28%
"preservative.",5,0.28%
"omega 3",5,0.28%
"glucosamine from fermentation",5,0.28%
"9% carrot",5,0.28%
"8% parsnip",5,0.28%
"5% ox liver",5,0.28%
"5% ox kidney",5,0.28%
"3% broccoli",5,0.28%
"carrot 3%",5,0.28%
"l-carnitine tartrate",5,0.28%
"pasteurised lactobacillus acidophilus.",5,0.28%
"organic spinach",5,0.28%
"cabbage",5,0.28%
"joint support",5,0.28%
"60% chicken",5,0.28%
"meat and bone meal",5,0.28%
"chicken stock 1%",5,0.28%
"spinach.",5,0.28%
"pork liver",5,0.28%
"lamb 26%",5,0.28%
"blueberries 0.15%",4,0.23%
"pre-biotic mannan-oligosaccharide",4,0.23%
"cranberries 1%",4,0.23%
"1% salmon oil",4,0.23%
"chicory inulin.",4,0.23%
"dried rabbit",4,0.23%
"swede",4,0.23%
"oatmeal",4,0.23%
"pork meal",4,0.23%
"plant fibre",4,0.23%
"60% meat",4,0.23%
"15% dried carrot",4,0.23%
"14% dried apple",4,0.23%
"dried vegetable stock",4,0.23%
"brown rice 6%",4,0.23%
"2% beef kidney.",4,0.23%
"minerals 1%",4,0.23%
"dextrose",4,0.23%
"blood meal",4,0.23%
"protein hydrolysate 3.5%",4,0.23%
"chicken 37%",4,0.23%
"monosodium phosphate",4,0.23%
"apple cider vinegar powder",4,0.23%
"honey powder",4,0.23%
"herbal blend 0.25%",4,0.23%
"turkey 60%",4,0.23%
"dried eggshells",4,0.23%
"potato 10%",4,0.23%
"freshly prepared beef",4,0.23%
"freshly prepared beef tripe",4,0.23%
"green tea extract.",4,0.23%
"dehydrated salmon protein",4,0.23%
"strawberry",4,0.23%
"0.01% green tea extract",4,0.23%
"blackberries",4,0.23%
"hand cut irish seaweed",4,0.23%
"yeast extract 0.5%",4,0.23%
"60% fresh meat",4,0.23%
"chicken meal 20%",4,0.23%
"organic coconut oil",4,0.23%
"grapeseed extract",4,0.23%
"whole linseed 5%",4,0.23%
"pure olive oil 0.2%",4,0.23%
"minerals 0.04%.",4,0.23%
"0.25% sage",4,0.23%
"poultry sauce",4,0.23%
"carob bean extract",4,0.23%
"herb blend 750mg/kg",4,0.23%
"chondroitin sulphate 150mg/kg",4,0.23%
"chicken fat 9%",4,0.23%
"glucosamine 0.1%",4,0.23%
"kale 0.005%",4,0.23%
"spinach 0.005%",4,0.23%
"rosehip 0.005%",4,0.23%
"pomegranate 0.005%",4,0.23%
"yucca schidigera 0.005%",4,0.23%
"olive extract 0.005%.",4,0.23%
"dried algae oil 0.12%",4,0.23%
"dehydrated pumpkin",4,0.23%
"pea vegetable fibre",4,0.23%
"potato 2%",4,0.23%
"chicken 38%",4,0.23%
"0.2% sunflower oil",4,0.23%
"0.02% extracts from hops and green tea",4,0.23%
"cowberry",4,0.23%
"beef tallow",4,0.23%
"dried rosehips",4,0.23%
"fiber vegetable of peas",4,0.23%
"freshly frozen lamb",4,0.23%
"broth",4,0.23%
"courgette",4,0.23%
"potato meal",4,0.23%
"dried yeast",4,0.23%
"mojave yucca 0.01%",4,0.23%
"citrus extract 0.005%",4,0.23%
"curcuma extract 0.005%",4,0.23%
"algal oil schizochytrium sp",4,0.23%
"prebiotic",4,0.23%
"chicken hearts",4,0.23%
"chicken gizzards",4,0.23%
"dehydrated turmeric",4,0.23%
"dehydrated blueberries",4,0.23%
"dried carrot.",4,0.23%
"minerals and trace elements.",4,0.23%
"dried new zealand green-lipped mussel meat.",4,0.23%
"vegetable glycerine",4,0.23%
"turkey digest",4,0.23%
"tomato powder",4,0.23%
"turkey meat",4,0.23%
"cold pressed oils",4,0.23%
"chicken stomach",4,0.23%
"oyster shell",4,0.23%
"organic yellow corn",4,0.23%
"organic whole grain wheat",4,0.23%
"turkey 28%",4,0.23%
"silica",4,0.23%
"vegetable oil.",4,0.23%
"green lipped mussel extract",4,0.23%
"dried spinach.",4,0.23%
"ocean white fish",4,0.23%
"dried parsley.",4,0.23%
"whey powder",4,0.23%
"brown rice 12.5%",4,0.23%
"herring oil",4,0.23%
"dried egg yolk",4,0.23%
"corn protein meal",4,0.23%
"glucosamine 0.065%",4,0.23%
"blueberries 1%",4,0.23%
"caraway",4,0.23%
"dehydrated tomato",4,0.23%
"ground maize",4,0.23%
"round grain rice",4,0.23%
"extra virgin olive oil",4,0.23%
"green-lipped mussels",4,0.23%
"salmon 50%",4,0.23%
"natural flavour",4,0.23%
"low-ash dried poultry protein",4,0.23%
"grapeseed expeller",4,0.23%
"brewers rice",4,0.23%
"soybean oil",4,0.23%
"3% health mix",4,0.23%
"pork cartilage",4,0.23%
